ID,html_url,bug_categories,root_cause,fault_location
SMARTHOME/3173,https://github.com/eclipse/smarthome/pull/3173,UI/usability issues,SWP,application
ZMNINJA/126,https://github.com/pliablepixels/zmNinja/issues/126,Auth issues,EC,application
NODEMANAGER/121,https://github.com/mysensors/NodeManager/issues/121,Device discovery and identification issues,SWP,middleware
SMARTHOME/1055,https://github.com/eclipse/smarthome/issues/1055,UI/usability issues,SWP,application
BLYNK-SERVER/1112,https://github.com/blynkkk/blynk-server/issues/1112,UI/usability issues,SWP,application
KURA/2072,https://github.com/eclipse/kura/issues/2072,UI/usability issues,SWP,middleware
DEVICE-OS/1842,https://github.com/particle-iot/device-os/issues/1842,Build and installation issues,SWP,hardware
KAPUA/2382,https://github.com/eclipse/kapua/issues/2382,UI/usability issues,SWP,middleware
TESLA-API/68,https://github.com/timdorr/tesla-api/issues/68,"Device incompatibility issues, Device properties status issues",DEP,application 
TESLA-API/43,https://github.com/timdorr/tesla-api/issues/43,"Device incompatibility issues, Rule condition issues, Third-party issues",CNF,application 
OPERATING-SYSTEM/576,https://github.com/home-assistant/operating-system/issues/576,"Firmware update issues, Device discovery and identification issues, Boot/reboot or physical issues",CNF,hardware 
OPERATING-SYSTEM/480,https://github.com/home-assistant/operating-system/issues/480,Network discovery/set-up issues,DEP,hardware 
THINGSBOARD-GATEWAY/249,https://github.com/thingsboard/thingsboard-gateway/issues/249,"Message timing/rate/order issues, Reconnection issues, Build and installation issues",DEP,gateway 
THINGSBOARD-GATEWAY/245,https://github.com/thingsboard/thingsboard-gateway/issues/245,"Message delivery issues, Device properties status issues, Build and installation issues",SEM,middleware 
MACCHINA.IO/48,https://github.com/macchina-io/macchina.io/issues/48,Device properties status issues,SEM,application 
MACCHINA.IO/22,https://github.com/macchina-io/macchina.io/issues/22,UI/usability issues,MEM,application 
SMARTIR/73,https://github.com/smartHomeHub/SmartIR/pull/73,"Device properties status issues, Boot/reboot or physical issues",SWP,application 
ESP-MQTT/48,https://github.com/espressif/esp-mqtt/issues/48,"Message delivery issues, Third-party issues, Disconnetion issues",CNF,hardware 
ESP-MQTT/34,https://github.com/espressif/esp-mqtt/issues/34,"Firmware update issues, Message delivery issues, Message payload issues, Message timing/rate/order issues",HWP,hardware 
HASSIO-ZIGBEE2MQTT/47,https://github.com/danielwelch/hassio-zigbee2mqtt/issues/47,"Message delivery issues, Third-party issues, Device properties status issues, Message payload issues, Device discovery and identification issues",SEM,middleware 
ZIGBEE2MQTT/107,https://github.com/Koenkk/zigbee2mqtt/issues/107,"Device discovery and identification issues, Firmware update issues",DEP,middleware 
FREEDOMOTIC/275,https://github.com/freedomotic/freedomotic/issues/275,performance/crash issues,EC, cloud
HAP-PYTHON/52,https://github.com/ikalchev/HAP-python/issues/52,"Connection establishment issues, Device connection status issues, Device binding/association/ pairing issues",TM,cloud 
HAP-PYTHON/20,https://github.com/ikalchev/HAP-python/issues/20,"Device discovery and identification issues, Device binding/association/ pairing issues",SEM, cloud
BRAD-HOMEASSISTANT-CONFIG/20,https://github.com/oakbrad/brad-homeassistant-config/issues/20,Rule action execution issues,SWP0, application
BRAD-HOMEASSISTANT-CONFIG/12,https://github.com/oakbrad/brad-homeassistant-config/issues/12,Rule action execution issues,SWP0,application 
ADAFRUIT_IO_PYTHON/95,https://github.com/adafruit/Adafruit_IO_Python/pull/95,Message delivery issues,SEM, application 
DASSHIO/79,https://github.com/danimtb/dasshio/issues/79,UI/usability issues,SWP, application
DASSHIO/72,https://github.com/danimtb/dasshio/issues/72,Build and installation issues,DEP, middleware 
ENTITY-CONTROLLER/103,https://github.com/danobot/entity-controller/issues/103,"Rule action execution issues, Device properties status issues",SWP0,application 
ENTITY-CONTROLLER/61,https://github.com/danobot/entity-controller/issues/61,Device properties status issues,TM,cloud 
HOME-ASSISTANT-CONFIG/2,https://github.com/Norien/Home-Assistant-Config/issues/2,"Rule trigger issues, Device properties status issues",SWP0, application
TEMPERATURE-MACHINE/13,https://github.com/tobyweston/temperature-machine/issues/13,Device incompatibility issues,SWP,application 
PHPMYDOMO/35,https://github.com/phpMyDomo/phpMyDomo/issues/35,UI/usability issues,SWP,application 
PHPMYDOMO/32,https://github.com/phpMyDomo/phpMyDomo/issues/32,Device incompatibility issues,SEM,application 
PIHOME/124,https://github.com/pihome-shc/pihome/issues/124,UI/usability issues,SWP,application 
PIHOME/111,https://github.com/pihome-shc/pihome/pull/111,UI/usability issues,SWP,application 
IOBROKER.HUE/92,https://github.com/iobroker-community-adapters/ioBroker.hue/issues/92,Device properties status issues,SEM,middleware
IOBROKER.HUE/78,https://github.com/iobroker-community-adapters/ioBroker.hue/issues/78,"Device discovery and identification issues, Protocol incompatibility issues",CNF,middleware 
GROW.JS/95,https://github.com/JakeHartnell/Grow.js/issues/95,Message delivery issues,SWP, middleware 
GOBOT/689,https://github.com/hybridgroup/gobot/issues/689,Build and installation issues,DEP, hardware 
GOBOT/673,https://github.com/hybridgroup/gobot/issues/673,Auth issues,CNF, middleware 
CYLON/197,https://github.com/hybridgroup/cylon/issues/197,Device connection status issues,SWP, middleware 
PYCHROMECAST/39,https://github.com/balloob/pychromecast/issues/39,Device discovery and identification issues,SWP, application 
PYCHROMECAST/38,https://github.com/balloob/pychromecast/issues/38,Device discovery and identification issues,CNF,application 
PYTRADFRI/138,https://github.com/ggravlingen/pytradfri/issues/138,Device properties status issues,SWP,middleware 
PYTRADFRI/135,https://github.com/ggravlingen/pytradfri/issues/135,"Device incompatibility issues, Third-party issues, Device discovery and identification issues, Message payload issues",HWP,middleware 
UPM/664,https://github.com/eclipse/upm/issues/664,"Firmware exception/hang issues, Device binding/association/ pairing issues",MEM,hardware 
UPM/498,https://github.com/eclipse/upm/issues/498,"Device incompatibility issues, Third-party issues",SEM,hardware 
DITTO/546,https://github.com/eclipse/ditto/pull/546,Message delivery issues,TM, middleware
DITTO/414,https://github.com/eclipse/ditto/issues/414,"Third-party issues, Disconnetion issues",TM,cloud 
MYCONTROLLER/501,https://github.com/mycontroller-org/mycontroller/issues/501,"Message timing/rate/order issues, Device properties status issues",SWP, cloud 
MYCONTROLLER/485,https://github.com/mycontroller-org/mycontroller/issues/485,"Device connection status issues, Device properties status issues",TM, cloud
RPIEASY/128,https://github.com/enesbcs/rpieasy/issues/128,Device constraint issues,SWP,middleware 
RPIEASY/124,https://github.com/enesbcs/rpieasy/issues/124,Device configuration issues,CNF,hardware 
WTHERMOSTATBECA/37,https://github.com/klausahrenberg/WThermostatBeca/issues/37,"Message delivery issues, Reconnection issues, Disconnetion issues, Firmware update issues",DEP,hardware 
WTHERMOSTATBECA/54,https://github.com/klausahrenberg/WThermostatBeca/issues/54,"Reconnection issues, Firmware update issues",CNF,hardware 
QUICKBIRDUWPDASHBOARD/8,https://github.com/quickbird-uk/QuickbirdUWPDashboard/issues/8,"Message timing/rate/order issues, UI/usability issues",TM, application
QUICKBIRDUWPDASHBOARD/76,https://github.com/quickbird-uk/QuickbirdUWPDashboard/issues/76,"UI/usability issues, Device discovery and identification issues",EC, application
QUICKBIRDUWPDASHBOARD/15,https://github.com/quickbird-uk/QuickbirdUWPDashboard/issues/15,UI/usability issues,SWP,application 
THINGSBOARD/814,https://github.com/thingsboard/thingsboard/issues/814,Message delivery issues,DEP, cloud
THINGSBOARD/856,https://github.com/thingsboard/thingsboard/issues/856,"Message timing/rate/order issues, UI/usability issues",TM,application 
MONGOOSE-OS/317,https://github.com/cesanta/mongoose-os/issues/317,Firmware update issues,MEM,hardware 
MONGOOSE-OS/277,https://github.com/cesanta/mongoose-os/issues/277,"Boot/reboot or physical issues, Device incompatibility issues",TM,hardware 
MAINFLUX/714,https://github.com/mainflux/mainflux/issues/714,Message delivery issues,SWP, middleware
MAINFLUX/1079,https://github.com/mainflux/mainflux/issues/1079,"Protocol incompatibility issues, Message delivery issues",SWP, middleware 
GROVEPI/412,https://github.com/DexterInd/GrovePi/issues/412,Message payload issues,CON,hardware 
GROVEPI/418,https://github.com/DexterInd/GrovePi/issues/418,"Third-party issues, Message payload issues",TM, hardware
FREEDOMOTIC/267,https://github.com/freedomotic/freedomotic/issues/267,Rule condition issues,SWP0,cloud 
FREEDOMOTIC/242,https://github.com/freedomotic/freedomotic/issues/242,"Protocol incompatibility issues, Device discovery and identification issues",SEM,cloud 
VSCP/207,https://github.com/grodansparadis/vscp/issues/207,Device configuration issues,DEP,midleware 
VSCP/98,https://github.com/grodansparadis/vscp/issues/98,Device connection status issues,SWP, hardware
EMBARC_OSP/123,https://github.com/foss-for-synopsys-dwc-arc-processors/embarc_osp/issues/123,"Protocol incompatibility issues, performance/crash issues",CNF, hardware
EMBARC_OSP/74,https://github.com/foss-for-synopsys-dwc-arc-processors/embarc_osp/issues/74,Message delivery issues,HWP,hardware 
SYNSE-SERVER/363,https://github.com/vapor-ware/synse-server/issues/363,"Third-party issues, Message delivery issues",MEM, middleware 
SYNSE-SERVER/88,https://github.com/vapor-ware/synse-server/issues/88,Message payload issues,EC,cloud 
DOMOTICZ/2897,https://github.com/domoticz/domoticz/issues/2897,"Protocol incompatibility issues, Device properties status issues",SWP, middleware 
DOMOTICZ/2641,https://github.com/domoticz/domoticz/issues/2641,UI/usability issues,SWP,middleware 
APPDAEMON/188,https://github.com/home-assistant/appdaemon/issues/188,"Device properties status issues, Boot/reboot or physical issues",SWP,application 
APPDAEMON/539,https://github.com/home-assistant/appdaemon/issues/539,Device properties status issues,SEM,application 
